l1Pt,l1Eta,l1Phi,l1E,l2Pt,l2Eta,l2Phi,l2E
19.86126,4.07944,0.12670,587.18829,21.86828,1.52874,-3.01324,52.80282
38.03965,-3.94419,-1.88404,982.44934,34.74478,-3.00570,1.31301,351.78891
30.66785,1.62504,0.38409,80.89468,19.98892,-0.41042,-2.87059,21.69619
15.75213,-2.52121,1.22473,98.63963,38.80582,-0.32160,-1.33720,40.82998
21.24769,0.21543,-1.47716,21.74263,59.58836,-0.89042,2.27741,84.81310
26.58192,-1.65253,1.10199,71.92696,39.85918,-3.05166,-2.50145,422.46112
33.74528,4.91341,-1.79700,2296.53955,23.58619,3.08060,1.73419,257.29388
56.67937,2.45085,-2.19525,331.13437,49.93719,3.31819,-0.78757,690.29645
13.86296,-5.50285,1.30885,1700.95264,19.85307,-3.26361,-1.28778,259.89758
27.21746,1.30587,-0.10871,53.91560,51.75770,1.56433,2.91301,129.10213
30.94306,-4.31068,2.42800,1152.70068,31.21048,-2.65657,-1.55907,223.42923
